"name","company","ticker","stock","percent_portfolio","shares","reported_price","percent_difference_current_price","current_price","value"
Jim Cullen,Cullen Value Fund,ALL,ALLSTATE CORP,3.13%,4396,$159.66,18.92%,$189.87,$701865
Jim Cullen,Cullen Value Fund,AXP,AMERICAN EXPRESS CO,1.81%,1759,$231.55,8.72%,$251.74,$407296
Jim Cullen,Cullen Value Fund,AMAT,APPLIED MATERIALS INC,4.37%,4136,$235.99,22.72%,$182.38,$976104
Jim Cullen,Cullen Value Fund,ADM,ARCHER-DANIELS-MIDLAND CO,1.21%,4507,$60.45,1.60%,$61.42,$272448
Jim Cullen,Cullen Value Fund,ARW,ARROW ELECTRONICS INC,3.02%,3120,$120.76,6.82%,$128.99,$376796
Jim Cullen,Cullen Value Fund,AXTA,AXALTA COATING SYSTEMS LTD,2.19%,14400,$34.17,3.54%,$35.38,$492048
Jim Cullen,Cullen Value Fund,BAC,BANK OF AMERICA CORP,3.79%,21429,$39.77,1.84%,$40.50,$852231
Jim Cullen,Cullen Value Fund,BA,BOEING CO/THE,1.96%,2417,$182.01,10.32%,$163.22,$439918
Jim Cullen,Cullen Value Fund,BWA,BORGWARNER INC,0.99%,6905,$32.24,2.57%,$33.07,$222617
Jim Cullen,Cullen Value Fund,CNI,CANADIAN NATL RAILWAY CO,1.99%,3641,$118.13,0.35%,$118.54,$430218
Jim Cullen,Cullen Value Fund,CVX,CHEVRON CORP,2.82%,3538,$156.42,9.17%,$142.07,$553491
Jim Cullen,Cullen Value Fund,CB,CHUBB LTD,3.25%,2860,$255.08,14.06%,$290.94,$729528
Jim Cullen,Cullen Value Fund,CI,CIGNA CORP,3.24%,2202,$330.57,10.91%,$366.64,$727915
Jim Cullen,Cullen Value Fund,CSCO,CISCO SYSTEMS INC,2.73%,6773,$47.51,4.61%,$49.70,$321786
Jim Cullen,Cullen Value Fund,C,CITIGROUP INC COM NEW,3.59%,11698,$63.46,3.94%,$60.96,$742400
Jim Cullen,Cullen Value Fund,CMCSA,COMCAST CORP-CLASS A,0.85%,4900,$39.16,1.25%,$38.67,$191884
Jim Cullen,Cullen Value Fund,XLC,COMM SERV SELECT SECTOR SPDR,1.64%,4288,$85.66,0.41%,$85.31,$367310
Jim Cullen,Cullen Value Fund,COP,CONOCOPHILLIPS,2.86%,3203,$114.38,5.09%,$108.56,$366469
Jim Cullen,Cullen Value Fund,XLY,CONSUMER DISCRETIONARY SELT,1.82%,2236,$182.40,1.44%,$185.03,$407846
Jim Cullen,Cullen Value Fund,XLP,CONSUMER STAPLES SPDR,0.87%,2557,$76.58,9.01%,$83.48,$195815
Jim Cullen,Cullen Value Fund,GD,GENERAL DYNAMICS CORP,3.00%,1255,$290.14,1.45%,$294.35,$364270
Jim Cullen,Cullen Value Fund,XLV,HEALTH CARE SELECT SECTOR,2.71%,4173,$145.75,7.46%,$156.63,$608214
Jim Cullen,Cullen Value Fund,JNJ,JOHNSON & JOHNSON,2.12%,1662,$146.16,14.50%,$167.36,$242930
Jim Cullen,Cullen Value Fund,JCI,JOHNSON CONTROLS INTERNATION,1.75%,5929,$66.47,5.37%,$70.04,$394100
Jim Cullen,Cullen Value Fund,JPM,JPMORGAN CHASE & CO,3.93%,4363,$202.26,8.44%,$219.33,$882460
Jim Cullen,Cullen Value Fund,KVUE,KENVUE INC,0.64%,7919,$18.18,23.82%,$22.51,$143967
Jim Cullen,Cullen Value Fund,LOW,LOWE'S COS INC,3.09%,3145,$220.46,11.34%,$245.45,$693346
Jim Cullen,Cullen Value Fund,MDT,MEDTRONIC PLC,2.45%,6234,$78.71,15.65%,$91.03,$490713
Jim Cullen,Cullen Value Fund,MBGYY,MERCEDES-BENZ GROUP-UNSP ADR,2.09%,27200,$17.25,4.41%,$16.49,$469200
Jim Cullen,Cullen Value Fund,MRK,MERCK & CO INC,3.14%,5155,$123.80,6.46%,$115.80,$638285
Jim Cullen,Cullen Value Fund,MDLZ,MONDELEZ INTERNATIONAL INC-A,2.48%,8495,$65.44,15.02%,$75.27,$555912
Jim Cullen,Cullen Value Fund,MS,MORGAN STANLEY,3.29%,7604,$97.19,3.05%,$100.15,$739032
Jim Cullen,Cullen Value Fund,ORCL,ORACLE CORP,3.78%,6019,$141.20,0.32%,$140.75,$849882
Jim Cullen,Cullen Value Fund,PKG,PACKAGING CORP OF AMERICA,2.28%,2618,$182.56,12.05%,$204.56,$477942
Jim Cullen,Cullen Value Fund,PFE,PFIZER INC,1.83%,14674,$27.98,1.47%,$28.39,$410578
Jim Cullen,Cullen Value Fund,RTX,RAYTHEON TECHNOLOGIES CORP,3.08%,6759,$100.39,20.64%,$121.11,$678541
Jim Cullen,Cullen Value Fund,ST,SENSATA TECHNOLOGIES HOLDING,1.02%,6100,$37.39,2.35%,$36.51,$228079
Jim Cullen,Cullen Value Fund,SIEGY,SIEMENS AG-SPONS ADR,2.24%,5400,$93.25,1.00%,$92.32,$503550
Jim Cullen,Cullen Value Fund,UL,UNILEVER PLC-SPONSORED ADR,3.03%,12393,$54.99,18.39%,$65.10,$681491
Jim Cullen,Cullen Value Fund,VZ,VERIZON COMMUNICATIONS INC,2.15%,11700,$41.24,0.58%,$41.48,$482508
Jim Cullen,Cullen Value Fund,DIS,WALT DISNEY CO/THE,1.76%,3792,$99.29,10.11%,$89.25,$376546
Christopher Davis,Clipper Fund,AGCO,AGCO CORP,0.69%,80700,$97.88,8.48%,$89.58,$7898916
Christopher Davis,Clipper Fund,GOOGL,ALPHABET INC-CL A,7.46%,471220,$182.15,14.11%,$156.45,$85832723
Christopher Davis,Clipper Fund,AMZN,AMAZONCOM INC,6.32%,276536,$193.25,10.31%,$173.33,$53440659
Christopher Davis,Clipper Fund,AMAT,APPLIED MATERIALS INC,4.75%,231520,$235.99,22.72%,$182.38,$54636404
Christopher Davis,Clipper Fund,,ASAC II LP UNIT SEALED,0.04%,238278,$1.12,0,0,$265727
Christopher Davis,Clipper Fund,BK,BANK OF NEW YORK MELLON CORP,2.59%,497013,$59.89,13.11%,$67.74,$29766108
Christopher Davis,Clipper Fund,BRK.A,BERKSHIRE HATHAWAY INC CL-A,10.12%,136,$612241.00,16.91%,$715778.00,$83754568
Christopher Davis,Clipper Fund,COF,CAPITAL ONE FINANCIAL CORP,6.42%,532853,$138.45,3.84%,$143.77,$73773497
